,concept:name,org:resource,Activity,Resource,elementId,start_timestamp,time:timestamp,@@duration,@@approx_bh_partial_cycle_time,@@approx_bh_partial_lead_time,@@approx_bh_overall_wasted_time,@@approx_bh_this_wasted_time,@approx_bh_ratio_cycle_lead_time,case:concept:name,case:variant,case:variant-index,case:creator,case:processId,resourceId,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@startevent_elementId,@@startevent_resourceId
0,EVENT2START,,EVENT2START,,Event_0gjguyy,2022-02-28 10:00:05.698000+01:00,2022-02-28 10:00:05.698000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
1,receiveBloodMeasure,BloodSens-000003,receiveBloodMeasure,BloodSens-000003,Activity_0bf5drw,2022-02-28 10:00:05.698000+01:00,2022-02-28 10:00:06.291000+01:00,0.593,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,QBP_DEFAULT_RESOURCE,receiveBloodMeasure,BloodSens-000003,receiveBloodMeasure,BloodSens-000003,Activity_0bf5drw,QBP_DEFAULT_RESOURCE
2,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,2022-02-28 10:00:06.291000+01:00,2022-02-28 10:00:06.443000+01:00,0.152,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
3,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,2022-02-28 10:00:06.443000+01:00,2022-02-28 10:00:06.803000+01:00,0.36,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
4,EVENT2START,,EVENT2START,,Event_0gjguyy,2022-02-28 10:00:07.793000+01:00,2022-02-28 10:00:07.793000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
5,receiveBloodMeasure,BloodSens-000004,receiveBloodMeasure,BloodSens-000004,Activity_0bf5drw,2022-02-28 10:00:07.793000+01:00,2022-02-28 10:00:08.426000+01:00,0.633,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,QBP_DEFAULT_RESOURCE,receiveBloodMeasure,BloodSens-000004,receiveBloodMeasure,BloodSens-000004,Activity_0bf5drw,QBP_DEFAULT_RESOURCE
6,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:00:07.975000+01:00,2022-02-28 10:00:08.247000+01:00,0.272,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
7,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,2022-02-28 10:00:08.426000+01:00,2022-02-28 10:00:08.509000+01:00,0.083,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
8,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,2022-02-28 10:00:08.509000+01:00,2022-02-28 10:00:08.944000+01:00,0.435,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
9,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:00:12.056000+01:00,2022-02-28 10:00:12.406000+01:00,0.35,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
